0.044	1.554	1.301	2.798	0.193	0.371	1.173	0.839	6.430	3.002	3.894	2.492	2.694	9.622	0.037	3.062	0.000	5.932	1.328	5.781	0.129	0.018	5.607	0.007	0.022	7.123	0.005	0.008	0.006	4.371	0.001	0.000	0.001	0.001	0.664	3.451
0.800	0.114	0.002	0.110	0.943	0.002	0.002	0.013	0.130	0.057	0.112	0.353	0.126	0.012	3.123	0.000	0.001	0.099	0.052	0.005	0.467	0.000	0.025	0.001	0.643	0.503	0.058	0.022	0.228	0.183	0.001	0.263	0.006	0.026	0.034	5.484
3.658	0.094	0.027	0.285	2.827	0.002	0.001	0.326	2.671	0.259	0.151	0.199	0.112	0.275	2.147	0.147	0.000	0.443	0.566	0.126	1.273	0.000	0.523	0.000	3.506	1.343	2.010	0.007	0.940	0.047	0.464	0.291	1.864	0.020	0.073	6.135
3.167	0.014	0.003	0.153	3.435	0.000	0.909	0.012	0.658	0.239	0.003	0.064	0.040	0.475	5.234	0.001	0.000	0.742	0.007	0.015	1.242	0.000	0.344	0.000	0.497	0.725	0.830	0.039	0.814	0.025	0.001	0.365	0.000	0.032	0.258	7.707
0.010	0.797	1.658	1.292	0.053	0.160	0.301	0.284	23.710	4.644	0.083	4.381	0.761	3.618	0.037	0.985	0.000	2.135	0.686	4.296	0.023	0.026	1.676	0.003	0.031	8.521	0.001	0.001	0.001	2.136	0.000	0.000	0.001	0.002	2.579	0.479
0.203	0.010	0.000	0.003	0.089	0.010	0.001	0.003	0.056	0.002	0.002	0.136	0.018	0.071	0.221	0.007	0.000	0.022	0.051	0.008	0.066	0.000	0.002	0.000	0.037	0.003	0.002	0.001	0.001	0.001	0.000	0.000	0.001	0.000	0.000	0.734
0.758	0.001	0.002	0.039	4.159	0.000	0.034	0.006	0.374	0.041	0.005	0.046	0.042	0.145	1.538	0.001	0.000	0.171	0.007	0.003	0.588	0.000	0.012	0.001	0.398	0.387	0.297	0.006	0.131	0.025	0.001	0.183	0.000	0.002	0.000	3.563
0.048	0.000	8.226	0.002	0.017	0.009	0.009	0.000	0.005	0.001	0.001	0.011	0.004	0.019	0.058	0.021	0.000	0.002	0.032	0.156	0.004	0.002	0.003	0.000	0.011	0.003	0.001	0.001	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.601
0.179	2.510	6.077	0.208	0.118	0.438	0.874	0.269	0.328	0.383	4.745	4.835	5.809	16.364	0.371	2.313	0.000	0.593	6.300	0.113	0.023	0.065	8.182	0.011	0.023	5.090	0.005	0.002	0.004	0.005	0.000	0.000	0.001	0.000	0.004	5.929
2.813	0.031	0.763	0.046	4.254	0.000	0.000	0.005	0.218	0.005	0.004	0.002	0.015	0.004	1.498	0.000	0.000	0.002	0.071	0.006	0.880	0.000	0.013	0.000	0.595	0.234	0.007	0.006	0.007	0.008	0.002	0.320	0.001	0.000	0.003	6.069
3.868	0.133	0.194	0.394	2.661	0.002	0.001	0.012	1.056	0.083	0.074	1.104	0.168	0.631	1.967	0.060	0.000	0.350	2.292	1.217	0.613	0.000	0.285	0.000	0.953	0.771	0.091	0.007	0.583	0.286	0.022	0.041	0.004	0.000	0.185	6.493
4.106	0.523	0.026	0.638	2.080	0.122	0.586	0.052	1.496	0.036	0.893	0.158	0.044	0.012	1.776	0.383	0.000	0.098	0.017	0.110	0.489	0.000	0.053	0.000	0.996	0.284	0.005	0.002	0.102	0.002	0.000	0.341	0.923	0.060	0.084	2.097
3.693	0.008	0.014	0.207	5.679	0.001	0.047	0.113	1.405	0.221	0.012	0.028	0.033	0.006	2.130	0.001	0.000	0.214	0.260	0.042	0.748	0.000	0.019	0.000	3.204	0.649	0.013	0.029	0.011	0.031	0.004	0.001	0.738	0.034	0.010	7.401
